阶段,里程碑,任务编号,标题,所属层,前置任务,PRD Story,状态,负责人,开始日期,完成日期,备注
执行,M1 协议转换增强,01.1,json_canonical 移植(排序键+空arguments→{}),transform,,1;4,完成,bx,2026-06-09,2026-06-09,
执行,M1 协议转换增强,01.2,thinking_rectifier 移植+RectifierConfig,transform,,2,完成,bx,2026-06-09,2026-06-09,
执行,M1 协议转换增强,01.3,请求转换接入 canonicalization,transform,01.1,1;4,完成,bx,2026-06-09,2026-06-09,
执行,M1 协议转换增强,01.4,流式多工具 by index 修复,transform,,3,完成,bx,2026-06-09,2026-06-09,
执行,M1 协议转换增强,01.5,签名 rectifier 接入 forward.rs,proxy,01.2,2,完成,bx,2026-06-09,2026-06-09,
执行,M1 协议转换增强,01.6,整体回归验证,backend,01.1;01.2;01.3;01.4;01.5,1;2;3;4,完成,bx,2026-06-09,2026-06-09,
执行,codex端点与Responses路由,2027.1,transformer扩展:UpstreamFormat加OpenAiResponses变体+codex识别,transform,,1;2;3,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2027.2,Responses转Chat请求转换+单测,transform,2027.1,1,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2027.3,Chat转Responses响应转换(非流式)+单测,transform,2027.1,1,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2027.4,Responses流式转换器+单测,transform,2027.3,1,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2027.5,forward集成:入站识别+候选过滤+三态决策+鉴权UA,proxy,2027.2;2027.3;2027.4,1;2;3,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2027.6,透传路径:codex端点Responses原样转发(含流式),proxy,2027.1,2,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2027.7,模型获取校验:codex端点复用OpenAI分支,backend,2027.1,3,完成,claude,2026-06-11,2026-06-11,
执行,失败请求隐藏计时,2027b.1,RequestRow/TokenDetail按isError隐藏计时+单测,前端,,1,完成,claude,2026-06-10,2026-06-10,
执行,端点页上下分栏,2027c.1,Endpoints根布局改固定头部+60/40上下滚动区,前端,,1,完成,claude,2026-06-10,2026-06-10,
执行,端点模型映射,2027d.1,后端数据层:模型字段+迁移v7+repo往返+clone,后端,,1,完成,claude,2026-06-10,2026-06-10,
执行,端点模型映射,2027d.2,后端选择/改写:resolver+forward+models_route,后端,,1,完成,claude,2026-06-10,2026-06-10,
执行,端点模型映射,2027d.3,前端类型+映射弹窗+卡片图标入口,前端,,1,完成,claude,2026-06-10,2026-06-10,
执行,端点模型映射,2027d.4,前端展示并入:卡片hover+ModelList,前端,,1,完成,claude,2026-06-10,2026-06-10,
执行,请求明细实际模型,2027e.1,后端actual_model切片:迁移v8+模型+aggregator+repo+forward,后端,,1,完成,claude,2026-06-10,2026-06-10,
执行,请求明细实际模型,2027e.2,前端类型+弹层蓝色实际模型展示+测试,前端,,1,完成,claude,2026-06-10,2026-06-10,
执行,codex端点与Responses路由,2027.8,前端codex端点类型选项,前端,,3,完成,claude,2026-06-11,2026-06-11,
执行,codex端点与Responses路由,2027.9,整体回归+moon-bridge映射逐条校对,backend,2027.5;2027.6;2027.7;2027.8,1;2;3,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,2027f.1,opener能力接入:Cargo+lib.rs+capability,后端,,1,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,2027f.2,前端依赖与资源:plugin-opener+logo.png,前端,,1,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,2027f.3,update service扩展:openReleases+getAppVersion,前端,2027f.2,1,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,2027f.4,Logo图标置换+extra slot,前端,,1,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,2027f.5,VersionPopover组件+business桶导出,前端,2027f.3;2027f.4,1;2,完成,claude,2026-06-11,2026-06-11,
执行,应用更新与图标置换,2027f.6,SideNav接入+组件测试+回归,前端,2027f.5,1;2,完成,claude,2026-06-11,2026-06-11,
执行,端点状态同步与模型获取,2028.1,后端endpoints-changed事件:update/test命令emit,后端,,1;2,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,2028.2,共享useEndpointHealth hook+三组件接入+删重复订阅,前端,2028.1,1;3,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,2028.3,可用性优先级合并:TestBadge实时优先回退testStatus,前端,2028.2,2,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,2028.4,默认模型映射收口:default_model_for按格式+单测,后端,,4,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,2028.5,models_probe鉴权聚合+URL候选+单测+命令接入,后端,2028.4,6,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,2028.6,EndpointForm URL预览+v1结尾警告,前端,,5,完成,claude,2026-06-12,2026-06-12,
执行,端点状态同步与模型获取,2028.7,整体回归:cargo test+tsc+vitest+人工清单,全栈,2028.1;2028.2;2028.3;2028.4;2028.5;2028.6,1;2;3;4;5;6,完成,claude,2026-06-12,2026-06-12,
执行,配置文件管理,2029.1,后端基础:atomic_write+paths扩展+toml依赖+单测,后端,,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.2,后端DTO:models/tool_config,后端,,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.3,claude配置:抽取/合并/备份覆写+单测,后端,2029.1;2029.2,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.4,codex配置:toml_edit字段级更新/双文件原子写+单测,后端,2029.1;2029.2,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.5,tool_config命令+lib注册,后端,2029.3;2029.4,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.6,前端service+类型+useToolConfigChannels,前端,2029.5,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.7,共享JsonEditor提升+toolConfig纯函数+单测,前端,,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.8,页面骨架+导航接入+三栏布局,前端,2029.6,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.9,左栏渠道列表:读/新增/删除/选中,前端,2029.8,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.10,中栏表单:端点/自定义子tab+模型1m+操作字段编辑器,前端,2029.8,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.11,右栏整合编辑器+应用流程(备份覆写),前端,2029.10,1,完成,claude,2026-06-13,2026-06-13,
执行,配置文件管理,2029.12,开关项data-driven+整体回归+核对清单,全栈,2029.11,1,完成,claude,2026-06-13,2026-06-13,
执行,reasoning-effort降级,2029.13,Responses转Chat时xhigh降级重试,backend,,,完成,claude,2026-06-13,2026-06-13,
执行,代理端口修复,2030.1,后端read_port统一读port键+删proxy_port+单测,backend,,1,完成,claude,2026-06-17,2026-06-17,
执行,代理端口修复,2030.2,set_config重启代理后emit proxy-status-changed,backend,,2,完成,claude,2026-06-17,2026-06-17,
执行,代理端口修复,2030.3,前端设置保存刷新代理状态+Codex默认TOML端口动态化,前端,,3,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,2031.1,单例与桌面快捷唤起(single-instance),后端,,4,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,2031.2,通用弹窗限高滚动,前端,,7,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,2031.3,历史记录弹窗加宽与列不换行,前端,,6,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,2031.4,端点卡片API URL点击跳转浏览器,前端,,8,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,2031.5,模型点亮态后端:DTO+迁移v9+repo+resolver+单测,后端,,9,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,2031.6,模型点亮态前端:类型+表单点亮+过滤+单测,前端,,9,完成,claude,2026-06-17,2026-06-17,
执行,需要修复内容批次,2031.7,端口验证回归+整体回归+核对清单,全栈,,1;2;3;5,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,2032.1,后端配置扩展:AppConfig加silentStart/autoRun+config_repo解析+SAFE键+单测,后端,,1;2;3,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,2032.2,自启动插件接入:Cargo+lib.rs注册+capability+前端plugin-autostart,全栈,,1,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,2032.3,自动运行:lib.rs setup按autoRun启动代理+emit状态,后端,2032.1,3,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,2032.4,静默启动:boot按silentStart跳过reveal,前端,2032.1,2,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,2032.5,设置页启动行为类别+config类型扩展,前端,2032.2,1;2;3,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,2032.6,模型映射按点亮:endpoint.ts litOutbound+ModelMappingDialog+单测,前端,,5,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,2032.7,CSS亮色文字加深+未点亮标签去灰,前端,,5,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,2032.8,卡片URL放开:opener capability http/https,配置,,6,完成,claude,2026-06-17,2026-06-17,
执行,启动行为与点亮收尾,2032.9,校验收尾:gateway/v1+新建配置端口/点亮下拉+整体回归,全栈,2032.1;2032.2;2032.3;2032.4;2032.5;2032.6;2032.7;2032.8,4;5,完成,claude,2026-06-17,2026-06-17,
执行,端点筛选与表单文案,2033.1,FilterBar补codex类型+EndpointForm点亮提示改图标tooltip+删两处括号文案,前端,,,完成,claude,2026-06-17,2026-06-17,lite
执行,模型去重与删除弹窗,2034.1,/v1/models跨端点去重(大小写不敏)+resolver单测+删除渠道弹窗文案优化,全栈,,,完成,claude,2026-06-17,2026-06-17,lite
,,2035.1,后端active_models自动补齐,backend,,endpoint_repo.update自动补齐,完成,claude,2026-06-21,2026-06-21,
,,2035.2,select_candidates移除兜底+forward守卫,backend,,熔断选路不再级联,完成,claude,2026-06-21,2026-06-21,
,,2035.3,前端refresh自动同步activeModels,frontend,,刷新模型时自动点亮,完成,claude,2026-06-21,2026-06-21,
执行,Linux交互冻结修复,2035.4,tray.rs show_main接线nudge,desktop,2035.2,1,完成,claude,2026-06-21,2026-06-21,
执行,Linux交互冻结修复,2035.5,commands/window.rs新增notify_window_shown命令,desktop,2035.2,1,完成,claude,2026-06-21,2026-06-21,
执行,Linux交互冻结修复,2035.6,boot.ts首屏show后invoke触发nudge,前端,2035.5,1,完成,claude,2026-06-21,2026-06-21,
执行,Linux交互冻结修复,2035.7,验证:tsc+cargo check非Linux分支;Linux实测移交用户,全栈,2035.1;2035.3;2035.4;2035.6,1,完成,claude,2026-06-21,2026-06-21,
执行,熔断模型过滤日志增强,2036.1,forward.rs增加模型过滤和熔断选路详细日志+模型匹配检查,后端,,,完成,claude,2026-06-21,2026-06-21,诊断模型误路由问题
执行,错误监控与UA适配,2037.3,OpenAI-Codex默认UA适配,后端,,3,完成,claude,2026-06-22,2026-06-22,
执行,错误监控与UA适配,2037.1,后端错误体链路,后端,,1,完成,claude,2026-06-22,2026-06-22,
执行,错误监控与UA适配,2037.2,403熔断分类,后端,,2,完成,claude,2026-06-22,2026-06-22,
执行,错误监控与UA适配,2037.5,验证与收尾,全栈,2037.1;2037.2;2037.3;2037.4,1;2;3,待开始,claude,2026-06-22,,
执行,错误监控与UA适配,2037.4,前端错误详情与设置文案,前端,,1;3,完成,claude,2026-06-22,2026-06-22,
执行,页面布局/规则配置/日志详情/Web配置台,2038.1,页面布局状态与导航入口,前端,,1,完成,codex,2026-06-24,2026-06-24,
执行,页面布局/规则配置/日志详情/Web配置台,2038.2,共享页面布局引擎与页面迁移,前端,2038.1,1,完成,codex,2026-06-24,2026-06-24,Settings页已接入共享布局引擎
执行,页面布局/规则配置/日志详情/Web配置台,2038.3,后端规则配置模型与运行时接线,后端,,2,完成,codex,2026-06-24,2026-06-26,cargo check/test通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.4,规则配置前端菜单页,前端,2038.3,2,完成,codex,2026-06-24,2026-06-24,已接入独立菜单页并打通保存/重置
执行,页面布局/规则配置/日志详情/Web配置台,2038.5,请求四段详情数据模型与迁移,后端,,3,完成,codex,2026-06-24,2026-06-26,trace模型/迁移/仓储已完成；cargo check/test通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.6,代理链路四段详情采集,后端,2038.5,3,完成,codex,2026-06-24,2026-06-26,四段采集与失败回退记录已完成；cargo check/test通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.7,日志页四段详情布局与交互,全栈,2038.2;2038.6,3,完成,codex,2026-06-24,2026-06-26,日志四段详情UI与链路验证完成；前端测试/检查/构建和cargo check/test通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.8,宿主传输抽象与Web管理接口,全栈,2038.3;2038.4;2038.7,4,完成,codex,2026-06-24,2026-06-26,transport/Web runtime与Axum接口已完成；前端测试/检查/构建和cargo check/test通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.9,Web配置台入口与整体验证,全栈,2038.8,4,完成,codex,2026-06-24,2026-06-26,/__admin入口与宿主自动识别已完成；前端测试/检查/构建和cargo check/test通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.10,中转站余额查询模型与命令,全栈,2038.9,1,完成,codex,2026-06-27,2026-06-27,新增端点余额模板持久化/迁移/查询命令；定向cargo测试通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.11,余额查询页面与端点入口,前端,2038.10,1,完成,codex,2026-06-27,2026-06-27,新增余额查询菜单页、端点卡片查询入口和端点表单余额模板配置；前端定向测试与构建通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.12,规则配置扩展与示例说明,全栈,2038.9,2,完成,codex,2026-06-27,2026-06-27,扩展路由/熔断/降级配置项并为每项增加示例说明；规则页测试通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.13,模型映射路由策略可配置,后端,2038.12,2,完成,codex,2026-06-27,2026-06-27,新增site-first/global-native-first策略并接入候选排序；默认site-first；resolver测试通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.15,余额模板智能识别与AI生成,全栈,2038.11,1,完成,codex,2026-06-27,2026-06-27,新增内置模板探测/全失败自定义路径复探/脱敏样本AI生成模板；npm test、cargo test、npm run build、cargo check和3001浏览器验证通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.16,余额AI模型作用域与模板扩充,全栈,2038.15,1,完成,codex,2026-06-27,2026-06-27,AI识别改为选择当前站点模型并校验模型归属；扩充newapi/one-api/sub2api/voapi/newapi-token/one-hub模板；npm test、cargo test、npm run build、cargo check和3001调试验证通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.17,余额AI多样本识别与多周期额度测试,全栈,2038.16,1,完成,codex,2026-06-27,2026-06-27,AI识别改为接收全部URL可达样本；新增extraction.limits多周期额度；端点余额编辑页支持保存前测试当前模板；npm test、cargo test、npm run build、cargo check通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.18,余额AI样本质量门禁,全栈,2038.17,1,完成,codex,2026-06-27,2026-06-27,过滤HTML页面/登录页/鉴权失败JSON，避免无效返回样本进入AI；URL有返回但无可用余额样本时阻止AI生成；npm test、cargo test、npm run build、cargo check和3001实测通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.19,余额模板生成反验证与用量模板扩充,全栈,2038.18,1,完成,codex,2026-06-27,2026-06-27,AI生成模板后用返回样本反验证，失败时对/v1/usage响应确定性推断；新增New-Api-User和crazyrouter额度换算模板；npm test、cargo test、npm run build和3001实测通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.20,Responses流式可用性降级与错误流防护,后端,2038.13,1,完成,codex,2026-06-28,2026-06-28,openai类型端点承接Responses到Chat流转换；上游200但非SSE时标记失败并切换候选，避免空response.completed；cargo test、cargo check、npm test和3001实测通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.21,端点测试与路由轮询健康校准,后端,2038.20,1,完成,codex,2026-06-28,2026-06-28,codex保持原生/v1/responses直连；端点测试使用真实出站模型和Responses数组输入并要求完整流结束；测试失败提示明确区分鉴权/路径/限流/格式/流不完整；路由轮询跳过手动测试不可用端点
执行,页面布局/规则配置/日志详情/Web配置台,2038.22,大请求体限制与端点测试瞬时错误处理,后端,2038.21,1,完成,codex,2026-06-28,2026-06-28,代理请求体上限提升到64MB避免axum默认限制触发413；端点测试对403/429/5xx短重试并提示权限/风控/限流/上游不稳定等可操作原因
执行,页面布局/规则配置/日志详情/Web配置台,2038.23,上游错误精准诊断提示,后端,2038.22,1,完成,codex,2026-06-28,2026-06-28,新增上游错误诊断器解析JSON错误体和关键词；端点测试与真实代理失败统一输出原因/处理方式/依据，覆盖模型映射、鉴权、额度、限流风控、上下文过大、端点类型/请求格式等场景
执行,页面布局/规则配置/日志详情/Web配置台,2038.24,Codex端点测试精确诊断+Responses流断流记录,后端,2038.23,1,完成,codex,2026-06-28,2026-06-28,修复codex_access_restricted、tool_choice/tools诊断；真实直通Responses流缺少response.completed或读失败时记录错误并回写熔断健康
执行,页面布局/规则配置/日志详情/Web配置台,2038.25,Codex端点长上下文健康探针,后端,2038.24,1,完成,codex,2026-06-28,2026-06-28,端点测试从单次短探针改为连续短探针+长上下文探针；覆盖workspaceid、insufficient_user_quota、套餐未激活等真实上游错误
执行,页面布局/规则配置/日志详情/Web配置台,2038.26,端点测试原始上游响应与日志记录,后端,2038.25,1,完成,codex,2026-06-28,2026-06-28,端点测试不再二次加工HTTP上游错误；HTTP 200但无完整流结果时提示请求成功但未返回实际流响应结果；测试操作写入请求日志并携带四段trace
执行,页面布局/规则配置/日志详情/Web配置台,2038.27,UA伪装统一生效与自动学习,后端,2038.26,1,完成,codex,2026-06-28,2026-06-28,设置中的OpenAI/Codex与Claude UA同时作用于真实转发和软件主动发起的测试/模型/余额/AI模板请求；真实客户端首个官方UA会自动学习并写回配置且不覆盖用户自定义UA
执行,页面布局/规则配置/日志详情/Web配置台,2038.28,OpenAI类型Responses转Chat流式reasoning兼容,后端,2038.27,1,完成,codex,2026-06-29,2026-06-29,修复openai类型端点在/v1/responses转/v1/chat/completions时仅返回reasoning_content导致下游空流/停下的问题；新增Responses流起始事件/15秒keepalive/reasoning事件映射；cargo test、npm test、npm run build和3001真实流验证通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.29,端点快速测试与规则保存稳定性修复,全栈,2038.28,1,完成,codex,2026-06-29,2026-06-29,端点连通性默认改为快速探针降低codex测试等待；规则保存不再重启当前Web/代理服务避免Failed to fetch；代理关闭信号发送端异常丢弃时保持监听；路由策略选项改为中文并修正规则生效说明；cargo test、npm test、npm run build和3001规则保存/健康检查验证通过
执行,页面布局/规则配置/日志详情/Web配置台,2038.30,Codex流式测试严格校验与规则策略固定,全栈,2038.29,1,完成,codex,2026-06-29,2026-06-29,Responses/codex端点测试即使quick也追加真实长流校验避免短流误判成功；端点测试提示精简为路径/模型/HTTP状态/上游message且trace和原始body留日志；路由策略和模型映射策略配置项移除，并固定为按端点顺序轮询/站点内优先
执行,页面布局/规则配置/日志详情/Web配置台,2038.31,端点批量连通性更新与测试模型配置,全栈,2038.30,1,完成,codex,2026-06-30,2026-06-30,新增端点testModel与全局globalTestModel配置；端点管理新增更新连通性按钮并发测试全部端点；流式测试要求结束标记和实际输出内容；npm test、npm run build、cargo test和3001浏览器/API实测通过
